sector,size,is_outlier,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d3_q1,d3_q2,d3_q3,d3_q4,d3_q5,d4_q1,d4_q2,d4_q3,d4_q4,d4_q5,d5_q1,d5_q2,d5_q3,d5_q4,d5_q5,dim_avg_data,dim_avg_talent,dim_avg_technology,dim_avg_strategy,dim_avg_processes,maturity_score
professional_services,medium,False,3,2,2,3,3,3,2,3,2,3,2,1,1,2,2,3,4,4,3,4,4,4,2,2,4,2.6,2.6,1.6,3.6,3.2,2.69
banking_insurance,small,False,3,5,4,4,3,3,2,1,2,1,1,1,3,2,3,3,3,2,3,3,3,3,3,3,2,3.8,1.8,2.0,2.8,2.8,2.69
healthcare,small,False,3,4,4,2,4,2,3,2,2,1,2,1,3,3,1,3,2,2,3,2,5,3,4,3,4,3.4,2.0,2.0,2.4,3.8,2.6999999999999997
logistics,large,False,3,2,3,2,2,3,4,3,3,4,2,2,4,3,3,2,3,5,4,4,4,4,3,5,5,2.4,3.4,2.8,3.6,4.2,3.19
education,large,False,2,1,1,3,1,2,2,3,2,3,1,2,1,1,1,4,3,3,3,2,3,4,4,2,3,1.6,2.4,1.2,3.0,3.2,2.2
manufacturing,small,False,3,5,3,2,3,3,2,2,4,2,2,3,3,3,3,3,4,5,4,3,3,3,3,3,4,3.2,2.6,2.8,3.8,3.2,3.1199999999999997
education,small,False,2,3,3,1,3,2,2,2,2,3,4,1,3,3,2,3,4,2,3,3,3,4,3,4,2,2.4,2.2,2.6,3.0,3.2,2.64
education,small,False,2,2,3,3,3,2,2,2,3,1,4,4,2,5,4,3,2,2,2,3,4,3,2,3,3,2.6,2.0,3.8,2.4,3.0,2.74
tech_software,startup,False,3,1,2,4,3,4,3,5,4,4,5,5,3,3,3,4,4,3,5,4,5,3,4,3,4,2.6,4.0,3.8,4.0,3.8,3.5799999999999996
education,small,False,2,3,4,3,1,3,3,4,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2.6,2.8,2.2,1.6,1.8,2.24
fintech,small,False,4,3,3,4,2,4,5,4,4,4,4,2,2,4,3,4,3,2,2,1,3,3,2,3,4,3.2,4.2,3.0,2.4,3.0,3.17
fintech,small,False,3,5,3,4,5,4,4,4,4,5,4,3,4,5,5,2,2,3,3,2,4,4,5,5,4,4.0,4.2,4.2,2.4,4.4,3.8200000000000003
professional_services,startup,False,3,1,2,2,2,3,2,2,3,3,1,3,4,3,3,2,2,1,1,3,2,2,2,2,2,2.0,2.6,2.8,1.8,2.0,2.24
tech_software,enterprise,False,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,3,4,3,4,4,4,5,4,5,4.6,4.8,5.0,3.8,4.4,4.53
professional_services,small,False,4,4,2,4,4,2,2,3,1,3,1,3,2,3,2,3,3,4,3,3,3,2,3,2,4,3.6,2.2,2.2,3.2,2.8,2.8400000000000003
professional_services,enterprise,False,3,3,3,3,2,4,5,4,3,5,3,3,3,2,2,3,4,3,3,3,4,3,4,3,2,2.8,4.2,2.6,3.2,3.2,3.18
professional_services,medium,False,2,2,2,2,1,4,5,3,4,4,2,2,1,3,2,4,5,4,4,5,1,3,1,2,4,1.8,4.0,2.0,4.4,2.2,2.8600000000000003
banking_insurance,startup,False,3,2,3,4,2,3,2,3,3,4,3,2,3,2,2,3,2,3,2,2,3,3,4,3,4,2.8,3.0,2.4,2.4,3.4,2.7699999999999996
logistics,medium,False,2,1,3,1,4,2,2,1,3,3,3,2,3,2,3,3,2,1,2,3,4,4,2,3,4,2.2,2.2,2.6,2.2,3.4,2.46
banking_insurance,startup,False,3,3,3,3,3,2,2,1,2,2,3,3,1,1,3,3,3,2,3,3,3,3,2,4,4,3.0,1.8,2.2,2.8,3.2,2.5900000000000003
healthcare,large,False,4,3,4,4,4,4,3,5,3,3,2,3,1,1,1,3,2,3,4,3,4,4,4,4,3,3.8,3.6,1.6,3.0,3.8,3.1599999999999997
fintech,large,False,3,3,3,4,3,4,5,4,4,3,2,2,4,5,4,4,5,5,4,5,2,4,3,4,3,3.2,4.0,3.4,4.6,3.2,3.68
tech_software,startup,False,4,3,2,3,4,3,3,3,2,3,4,4,5,4,5,4,1,4,1,3,3,2,1,1,3,3.2,2.8,4.4,2.6,2.0,3.06
professional_services,small,False,1,2,2,3,1,4,3,2,2,2,1,2,1,1,2,2,3,3,3,5,3,4,2,3,4,1.8,2.6,1.4,3.2,3.2,2.37
professional_services,small,False,2,2,3,3,3,2,3,3,3,3,4,2,3,2,3,4,3,3,2,3,3,2,3,3,2,2.6,2.8,2.8,3.0,2.6,2.7600000000000002
retail_ecommerce,startup,False,4,4,3,5,3,3,4,3,2,4,4,3,5,5,3,4,4,3,4,3,3,2,3,3,3,3.8,3.2,4.0,3.6,2.8,3.5300000000000002
education,small,False,1,3,1,2,1,2,2,1,2,1,3,3,3,4,2,1,1,2,1,1,2,3,2,4,5,1.6,1.6,3.0,1.2,3.2,2.04
tech_software,startup,False,5,4,4,3,4,4,3,4,3,3,3,3,4,4,3,3,3,2,2,3,3,2,2,3,3,4.0,3.4,3.4,2.6,2.6,3.2700000000000005
healthcare,medium,True,5,4,3,5,5,1,2,3,2,2,4,2,2,3,3,3,4,3,3,3,2,2,3,3,3,4.4,2.0,2.8,3.2,2.6,3.0900000000000003
healthcare,small,False,4,3,4,3,3,2,2,3,3,3,5,4,3,5,4,2,2,2,3,2,4,3,4,3,3,3.4,2.6,4.2,2.2,3.4,3.16
professional_services,startup,False,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,1,1,1,2,2,3.2,3.0,2.8,3.0,1.4,2.77
retail_ecommerce,small,False,3,4,4,4,3,2,2,3,3,3,3,2,3,3,3,4,4,4,5,3,3,3,3,2,2,3.6,2.6,2.8,4.0,2.6,3.1700000000000004
energy_utilities,medium,False,4,3,3,2,1,3,1,1,2,2,2,2,3,2,2,4,3,2,2,2,3,4,3,3,4,2.6,1.8,2.2,2.6,3.4,2.4800000000000004
healthcare,small,True,5,5,5,5,3,2,3,2,3,3,2,1,1,3,2,1,4,3,4,3,4,3,4,5,4,4.6,2.6,1.8,3.0,4.0,3.23
fintech,startup,False,4,4,4,4,4,2,3,4,3,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4.0,3.4,5.0,4.2,4.4,4.180000000000001
manufacturing,small,False,2,1,3,2,2,1,3,1,1,1,4,3,2,3,4,2,2,2,3,3,4,4,4,4,3,2.0,1.4,3.2,2.4,3.8,2.47
manufacturing,medium,False,3,5,4,4,3,3,4,2,3,3,5,3,2,4,3,2,2,2,3,1,3,4,3,2,4,3.8,3.0,3.4,2.0,3.2,3.11
retail_ecommerce,large,False,4,4,3,4,4,3,2,2,1,1,3,3,1,3,2,4,2,2,4,4,2,2,3,1,1,3.8,1.8,2.4,3.2,1.8,2.7
healthcare,small,False,4,2,4,2,3,3,2,2,3,4,4,4,4,3,4,3,4,2,2,3,4,3,3,4,3,3.0,2.8,3.8,2.8,3.4,3.1400000000000006
healthcare,medium,False,3,2,2,2,2,3,2,2,1,1,2,2,1,1,1,2,3,2,4,2,3,3,3,3,3,2.2,1.8,1.4,2.6,3.0,2.16
retail_ecommerce,small,False,5,4,2,4,5,3,3,3,3,3,4,5,4,4,4,2,4,3,3,3,3,3,4,4,2,4.0,3.0,4.2,3.0,3.2,3.5200000000000005
tech_software,large,False,4,3,4,4,3,5,5,5,5,4,5,5,5,5,4,5,4,4,4,5,2,4,2,3,3,3.6,4.8,4.8,4.4,2.8,4.12
healthcare,large,False,2,3,3,3,1,3,3,2,3,5,3,4,3,3,3,3,3,5,5,3,4,4,4,4,4,2.4,3.2,3.2,3.8,4.0,3.2400000000000007
professional_services,medium,False,2,3,4,4,2,4,2,4,3,3,5,3,3,4,5,3,2,4,3,3,2,3,4,4,3,3.0,3.2,4.0,3.0,3.2,3.2700000000000005
tech_software,small,False,5,4,5,5,4,4,4,5,5,4,4,4,4,4,4,3,3,5,4,5,4,4,5,3,3,4.6,4.4,4.0,4.0,3.8,4.2
professional_services,small,False,2,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,4,3,2,3,4,3,4,3,2,2.0,3.0,2.6,3.0,3.2,2.7
manufacturing,small,False,3,4,4,3,3,1,1,2,1,2,3,2,2,2,1,2,2,2,2,2,3,3,3,4,4,3.4,1.4,2.0,2.0,3.4,2.4399999999999995
banking_insurance,startup,False,3,4,5,3,3,1,3,2,2,2,2,3,5,4,2,3,2,1,3,3,4,3,3,3,3,3.6,2.0,3.2,2.4,3.2,2.9
fintech,medium,True,3,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,3,5,2,3,3,3,3,4.0,4.8,5.0,4.0,2.8,4.18
retail_ecommerce,small,False,4,4,4,3,4,3,4,4,4,3,3,3,4,2,3,2,2,3,3,2,2,2,1,3,3,3.8,3.6,3.0,2.4,2.2,3.08
logistics,small,True,3,5,5,3,4,2,2,2,3,2,4,5,4,4,3,1,1,1,2,2,5,5,5,5,4,4.0,2.2,4.0,1.4,4.8,3.24
education,startup,False,4,1,1,2,3,2,3,1,2,1,1,2,1,1,1,2,3,3,3,3,3,2,2,2,2,2.2,1.8,1.2,2.8,2.2,2.04
professional_services,medium,False,4,3,3,4,3,2,4,3,3,3,3,2,2,3,2,4,3,1,3,4,4,4,2,3,2,3.4,3.0,2.4,3.0,3.0,2.9800000000000004
banking_insurance,medium,False,3,3,4,4,4,3,1,2,4,3,2,4,4,3,3,3,3,4,4,4,4,2,3,3,1,3.6,2.6,3.2,3.6,2.6,3.1700000000000004
healthcare,medium,False,3,3,3,2,4,2,4,3,3,3,4,3,4,4,3,2,2,4,2,3,3,4,3,3,4,3.0,3.0,3.6,2.6,3.4,3.1000000000000005
manufacturing,small,False,2,2,4,3,3,4,4,5,2,3,2,1,4,3,3,5,4,4,4,5,3,3,4,4,2,2.8,3.6,2.6,4.4,3.2,3.3000000000000003
education,small,True,1,1,1,1,2,3,3,3,2,3,3,2,1,1,2,2,2,2,3,3,2,1,1,1,1,1.2,2.8,1.8,2.4,1.2,1.88
education,small,False,2,2,2,2,2,4,2,3,3,1,4,4,2,3,2,2,3,2,2,3,4,4,5,3,3,2.0,2.6,3.0,2.4,3.8,2.67
banking_insurance,medium,False,4,3,5,4,3,3,4,4,3,4,3,2,1,2,2,5,5,5,5,5,3,3,3,2,3,3.8,3.6,2.0,5.0,2.8,3.4899999999999998
retail_ecommerce,medium,False,4,4,3,4,3,3,3,4,4,4,5,3,5,3,3,4,4,4,4,5,3,3,2,3,3,3.6,3.6,3.8,4.2,2.8,3.6399999999999997
healthcare,small,False,3,3,2,3,2,2,1,1,3,2,3,2,3,1,3,3,3,3,2,2,3,4,4,3,3,2.6,1.8,2.4,2.6,3.4,2.5199999999999996
banking_insurance,small,False,3,2,2,3,2,2,3,2,3,3,2,3,3,3,2,2,2,3,1,3,4,2,4,5,4,2.4,2.6,2.6,2.2,3.8,2.65
education,large,False,2,1,1,2,1,3,2,3,4,3,2,1,2,1,2,2,3,2,2,1,3,3,4,3,2,1.4,3.0,1.6,2.0,3.0,2.12
education,small,False,1,2,3,2,2,2,4,3,3,4,2,2,2,1,1,3,1,2,2,4,3,2,4,2,3,2.0,3.2,1.6,2.4,2.8,2.3600000000000003
logistics,small,False,2,2,2,2,2,2,3,4,3,3,5,3,3,4,2,2,2,3,2,2,4,4,4,3,4,2.0,3.0,3.4,2.2,3.8,2.79
banking_insurance,startup,False,3,3,3,3,3,2,3,3,3,3,4,3,2,3,4,4,3,2,3,3,4,4,3,3,4,3.0,2.8,3.2,3.0,3.6,3.0900000000000003
professional_services,medium,False,1,1,2,1,2,2,3,3,3,3,2,1,1,2,2,2,3,2,2,2,3,3,5,3,3,1.4,2.8,1.6,2.2,3.4,2.1799999999999997
manufacturing,large,False,1,2,2,1,1,1,2,2,3,2,3,1,1,2,3,2,2,1,1,2,3,3,3,3,4,1.4,2.0,2.0,1.6,3.2,1.95
retail_ecommerce,medium,False,4,4,5,4,2,5,3,4,3,4,2,3,2,4,4,5,5,5,5,5,3,4,3,3,2,3.8,3.8,3.0,5.0,3.0,3.76
banking_insurance,medium,False,5,4,3,3,3,3,4,3,1,4,3,2,2,3,3,2,3,1,3,4,4,3,4,4,5,3.6,3.0,2.6,2.6,4.0,3.14
professional_services,small,False,3,3,4,3,4,4,3,4,3,4,3,2,3,4,3,3,3,2,3,1,2,3,3,2,3,3.4,3.6,3.0,2.4,2.6,3.04
banking_insurance,medium,False,4,3,2,2,3,4,3,4,3,3,1,3,2,3,2,3,3,2,3,2,3,4,4,3,4,2.8,3.4,2.2,2.6,3.6,2.88
logistics,startup,False,2,1,2,2,1,3,4,4,4,2,3,4,4,4,3,2,2,1,3,3,4,2,4,5,3,1.6,3.4,3.6,2.2,3.6,2.7800000000000002
retail_ecommerce,medium,False,4,5,4,3,5,3,3,2,4,4,5,2,4,3,4,2,4,4,3,4,3,3,3,2,4,4.2,3.2,3.6,3.4,3.0,3.54
energy_utilities,startup,False,2,4,3,2,3,3,3,3,2,3,2,2,2,3,3,1,1,3,2,1,3,2,4,3,4,2.8,2.8,2.4,1.6,3.2,2.5399999999999996
manufacturing,medium,False,4,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,2,2,4,2,4,3,4,3,4,3.0,2.6,2.6,2.6,3.6,2.85
energy_utilities,enterprise,False,4,3,2,2,4,1,1,2,1,1,2,2,2,2,3,4,4,5,4,4,4,5,4,4,3,3.0,1.2,2.2,4.2,4.0,2.8700000000000006
manufacturing,startup,False,3,2,3,3,3,3,3,2,3,4,3,3,3,3,4,2,2,2,2,2,4,5,3,2,4,2.8,3.0,3.2,2.0,3.6,2.8800000000000003
retail_ecommerce,medium,False,3,2,4,2,3,4,3,3,3,4,4,4,4,4,3,2,4,4,4,3,2,3,3,1,3,2.8,3.4,3.8,3.4,2.4,3.1799999999999997
retail_ecommerce,small,False,4,4,5,4,5,1,2,1,2,3,3,3,3,3,3,4,2,3,4,3,4,4,4,4,4,4.4,1.8,3.0,3.2,4.0,3.3000000000000007
retail_ecommerce,medium,False,4,3,3,3,3,4,3,3,2,2,5,4,3,5,4,4,3,3,3,2,3,4,5,4,2,3.2,2.8,4.2,3.0,3.6,3.3400000000000003
energy_utilities,small,False,2,1,2,2,2,3,2,3,2,4,1,2,3,3,2,2,2,1,2,1,2,3,2,3,2,1.8,2.8,2.2,1.6,2.4,2.1300000000000003
banking_insurance,medium,False,4,4,3,3,3,2,3,4,3,3,3,2,2,3,3,2,3,2,5,2,3,3,2,4,5,3.4,3.0,2.6,2.8,3.4,3.04
healthcare,startup,False,3,2,2,3,2,3,3,1,1,2,1,3,2,3,2,3,3,3,2,3,3,3,2,3,4,2.4,2.0,2.2,2.8,3.0,2.45
retail_ecommerce,large,False,3,3,2,3,4,3,2,4,4,3,2,2,2,2,2,4,4,4,5,5,4,2,3,3,3,3.0,3.2,2.0,4.4,3.0,3.12
retail_ecommerce,startup,False,3,4,4,3,3,2,3,2,3,2,3,3,2,2,3,3,3,4,4,2,2,2,2,3,2,3.4,2.4,2.6,3.2,2.2,2.8200000000000003
banking_insurance,medium,False,4,4,4,3,3,2,2,3,3,3,4,3,3,4,4,3,4,5,4,3,4,4,4,4,3,3.6,2.6,3.6,3.8,3.8,3.47
tech_software,large,False,4,3,4,4,4,5,5,4,4,5,4,4,4,5,4,5,5,3,5,5,4,5,3,3,2,3.8,4.6,4.2,4.6,3.4,4.14
manufacturing,large,False,3,2,2,3,4,4,3,2,2,3,1,3,3,3,2,3,3,2,4,2,5,3,5,5,4,2.8,2.8,2.4,2.8,4.4,2.96
manufacturing,startup,False,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,4,3,3,4,3,5,4,2.2,2.0,2.4,2.8,3.8,2.56
tech_software,large,True,4,4,4,5,5,4,3,3,5,3,5,5,5,5,5,5,5,5,4,4,3,3,4,4,2,4.4,3.6,5.0,4.6,3.2,4.220000000000001
manufacturing,medium,False,1,1,3,2,2,4,3,4,3,4,1,1,3,2,1,3,4,4,3,3,5,5,4,4,4,1.8,3.6,1.6,3.4,4.4,2.8300000000000005
tech_software,small,False,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,3,3,3,3,3,4.6,4.8,4.8,5.0,3.0,4.5200000000000005
professional_services,medium,False,1,2,3,1,3,5,4,4,5,4,3,2,2,2,3,4,3,2,2,3,5,4,3,4,3,2.0,4.4,2.4,2.8,3.8,2.9899999999999998
retail_ecommerce,small,False,2,2,2,3,2,2,3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,5,4,2,4,2.2,3.4,3.2,3.2,3.8,3.08
manufacturing,large,False,2,5,2,3,2,3,2,2,3,3,3,1,4,2,4,4,4,3,3,3,4,3,2,4,3,2.8,2.6,2.8,3.4,3.2,2.94
healthcare,medium,False,2,3,1,2,2,2,1,1,3,2,3,2,2,1,3,4,3,3,4,2,3,3,5,4,2,2.0,1.8,2.2,3.2,3.4,2.45
healthcare,medium,False,3,2,2,3,1,5,4,5,3,3,2,3,3,2,2,2,3,3,3,4,3,4,3,3,3,2.2,4.0,2.4,3.0,3.2,2.91
banking_insurance,startup,False,4,4,5,5,4,1,2,2,3,3,2,3,2,3,2,3,3,4,3,2,4,3,3,4,2,4.4,2.2,2.4,3.0,3.2,3.1
manufacturing,medium,False,1,2,1,2,2,4,2,2,2,3,3,3,3,2,3,4,3,3,5,3,4,3,5,4,3,1.6,2.6,2.8,3.6,3.8,2.77
energy_utilities,large,False,3,3,3,4,3,3,2,4,2,2,2,3,2,2,1,3,3,2,4,2,4,3,5,4,3,3.2,2.6,2.0,2.8,3.8,2.85
healthcare,small,False,3,3,2,1,2,3,3,3,4,2,2,2,2,3,3,3,4,2,3,3,3,4,3,4,4,2.2,3.0,2.4,3.0,3.6,2.7700000000000005
manufacturing,small,False,2,3,2,2,3,3,3,2,2,3,1,2,1,1,1,3,3,1,3,4,4,3,5,4,4,2.4,2.6,1.2,2.8,4.0,2.52
professional_services,medium,False,2,2,1,2,2,4,2,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,4,3,1.8,3.4,3.4,3.4,3.6,3.0300000000000002
banking_insurance,small,False,5,1,3,5,4,3,4,4,4,5,3,2,3,2,2,1,1,2,2,3,2,1,2,3,3,3.6,4.0,2.4,1.8,2.2,2.87
education,startup,False,2,2,2,3,3,2,3,3,2,3,2,2,1,2,3,2,4,3,3,3,3,1,1,2,2,2.4,2.6,2.0,3.0,1.8,2.39
fintech,small,False,4,4,4,4,4,3,3,4,4,5,4,4,3,4,4,4,3,4,3,4,4,3,4,5,4,4.0,3.8,3.8,3.6,4.0,3.8400000000000003
retail_ecommerce,small,False,3,5,4,3,4,3,1,3,3,3,3,4,3,2,3,4,4,4,5,2,2,2,2,3,3,3.8,2.6,3.0,3.8,2.4,3.19
energy_utilities,startup,False,2,2,1,3,3,3,1,4,2,2,3,2,2,3,5,3,4,3,3,2,4,2,4,3,1,2.2,2.4,3.0,3.0,2.8,2.6500000000000004
manufacturing,small,False,2,4,2,3,3,1,1,2,3,2,1,1,2,2,3,2,3,3,2,2,4,4,3,4,3,2.8,1.8,1.8,2.4,3.6,2.4400000000000004
manufacturing,small,False,2,2,1,3,2,3,1,2,2,3,2,3,2,2,3,3,1,1,1,1,3,2,3,2,3,2.0,2.2,2.4,1.4,2.6,2.09
tech_software,startup,False,4,4,3,3,3,3,5,2,3,4,3,4,4,4,3,4,4,4,3,4,3,3,5,4,3,3.4,3.4,3.6,3.8,3.6,3.55
tech_software,small,False,3,3,3,3,3,4,4,4,5,4,5,5,4,4,4,3,4,4,5,4,3,2,4,4,4,3.0,4.2,4.4,4.0,3.4,3.7800000000000002
logistics,small,False,2,1,3,2,1,2,2,3,2,3,3,2,2,4,4,3,3,3,3,2,5,4,3,3,4,1.8,2.4,3.0,2.8,3.8,2.6599999999999997
logistics,startup,False,4,4,3,3,3,3,2,2,1,3,4,3,1,3,2,2,2,2,2,2,3,3,2,3,3,3.4,2.2,2.6,2.0,2.8,2.63
tech_software,small,False,3,2,3,3,1,5,3,4,4,4,4,5,3,4,4,4,4,5,4,5,4,3,4,4,3,2.4,4.0,4.0,4.4,3.6,3.62
logistics,startup,False,1,1,3,2,1,2,2,2,3,2,3,2,2,2,1,2,2,3,1,3,4,4,3,4,2,1.6,2.2,2.0,2.2,3.4,2.1900000000000004
healthcare,small,False,1,3,3,1,2,3,3,2,3,2,2,2,2,2,2,3,2,3,2,3,2,2,1,3,2,2.0,2.6,2.0,2.6,2.0,2.2399999999999998
banking_insurance,medium,False,5,5,4,4,4,3,3,3,4,2,3,2,5,3,4,2,3,4,3,4,5,3,3,3,5,4.4,3.0,3.4,3.2,3.8,3.5900000000000003
healthcare,startup,False,2,2,2,3,3,4,4,3,3,4,3,1,2,2,2,3,3,3,3,2,2,3,3,2,3,2.4,3.6,2.0,2.8,2.6,2.6700000000000004
retail_ecommerce,startup,False,4,2,3,4,3,3,2,5,3,3,4,4,3,3,4,1,1,2,1,3,2,2,2,1,1,3.2,3.2,3.6,1.6,1.6,2.7200000000000006
healthcare,large,False,5,4,2,3,3,2,2,5,2,3,2,2,2,1,2,5,5,5,5,5,4,3,3,3,4,3.4,2.8,1.8,5.0,3.4,3.2800000000000002
